symbol,exchange,name,country,data,updated_at,fund_score
001430,KQ,,,"{""eps"": 111.9653, ""name"": ""SeAH Besteel Holdings Corporation"", ""sector"": ""Non-Energy Minerals"", ""country"": ""South Korea"", ""peRatio"": 614.4760921464061, ""industry"": ""Steel"", ""marketCap"": 2449382904053.0, ""dividendYield"": 0.0}",2026-01-13 11:12:51.449536+00,
001440,KQ,,,"{""eps"": 239.8021, ""name"": ""Taihan Cable & Solution Co., Ltd."", ""sector"": ""Producer Manufacturing"", ""country"": ""South Korea"", ""peRatio"": 110.54439149901114, ""industry"": ""Metal Fabrication"", ""marketCap"": 4987645610046.0, ""dividendYield"": null}",2026-01-13 11:12:51.219144+00,
001450,KQ,,,"{""eps"": 13410.6808, ""name"": ""Hyundai Marine & Fire Insurance Co., Ltd."", ""sector"": ""Finance"", ""country"": ""South Korea"", ""peRatio"": 1.9723085199373322, ""industry"": ""Property/Casualty Insurance"", ""marketCap"": 2117191429138.0002, ""dividendYield"": null}",2026-01-13 11:12:51.672462+00,
001460,KQ,,,"{""eps"": 2329.3388, ""name"": ""BYC Co., Ltd"", ""sector"": ""Consumer Non-Durables"", ""country"": ""South Korea"", ""peRatio"": 18.20259036598712, ""industry"": ""Apparel/Footwear"", ""marketCap"": 304050460911.0, ""dividendYield"": 0.886076}",2026-01-13 11:12:51.874044+00,
001465,KQ,,,"{""eps"": 2329.3388, ""name"": ""BYC Co., Ltd Non-Cum Pfd Registered Shs Non-Voting"", ""sector"": ""Consumer Non-Durables"", ""country"": ""South Korea"", ""peRatio"": 9.95990793610616, ""industry"": ""Apparel/Footwear"", ""marketCap"": 304050460911.0, ""dividendYield"": 1.5268817}",2026-01-13 11:12:52.092007+00,
001515,KQ,,,"{""eps"": 8.3575, ""name"": ""Sk Securities Co Ltd Pfd Shs Non-Voting"", ""sector"": ""Finance"", ""country"": ""South Korea"", ""peRatio"": 277.5949745737362, ""industry"": ""Investment Banks/Brokers"", ""marketCap"": 280090324005.0, ""dividendYield"": 0.26373625}",2026-01-13 11:12:54.457127+00,
001520,KQ,,,"{""eps"": -410.3023, ""name"": ""TONGYANG Incorporated"", ""sector"": ""Non-Energy Minerals"", ""country"": ""South Korea"", ""peRatio"": null, ""industry"": ""Construction Materials"", ""marketCap"": 165309740990.0, ""dividendYield"": null}",2026-01-13 11:12:53.731146+00,
001525,KQ,,,"{""eps"": -410.3023, ""name"": ""TONGYANG Inc Pfd Non-Voting"", ""sector"": ""Non-Energy Minerals"", ""country"": ""South Korea"", ""peRatio"": null, ""industry"": ""Construction Materials"", ""marketCap"": 165309740990.0, ""dividendYield"": null}",2026-01-13 11:12:54.018299+00,
001527,KQ,,,"{""eps"": -410.3023, ""name"": ""TONGYANG Incorporated Pfd Shs Issued Jan 1999"", ""sector"": ""Non-Energy Minerals"", ""country"": ""South Korea"", ""peRatio"": null, ""industry"": ""Construction Materials"", ""marketCap"": 165309740990.0, ""dividendYield"": null}",2026-01-13 11:12:54.241954+00,
001530,KQ,,,"{""eps"": -566.6584, ""name"": ""DI DONG-IL Corporation"", ""sector"": ""Process Industries"", ""country"": ""South Korea"", ""peRatio"": null, ""industry"": ""Textiles"", ""marketCap"": 414265937805.0, ""dividendYield"": 1.1804118}",2026-01-13 11:12:58.325457+00,
