symbol,exchange,name,country,data,updated_at,fund_score
NAHO,EGX,Naeem Holding Co.,,"{""eps"": null, ""name"": ""Naeem Holding Co."", ""sector"": ""Finance"", ""logoUrl"": ""https://s3-symbol-logo.tradingview.com/naeem.svg"", ""peRatio"": null, ""industry"": ""Investment Banks/Brokers"", ""marketCap"": 1850485204.8073668, ""dividendYield"": null}",2026-01-14 19:04:15.315024+00,
NARE,EGX,Naeem Real Estate Holding Group,,"{""eps"": 0.9829, ""name"": ""Naeem Real Estate Holding Group"", ""sector"": ""Finance"", ""logoUrl"": ""https://s3-symbol-logo.tradingview.com/reacap-financial-investments.svg"", ""peRatio"": 7.335435954827551, ""industry"": ""Investment Managers"", ""marketCap"": 895492819.0, ""dividendYield"": null}",2026-01-20 09:17:10.088207+00,
NBKE,EGX,,,"{""eps"": 32.17, ""name"": null, ""country"": ""Egypt"", ""peRatio"": 7.15, ""currency"": ""EGP"", ""marketCap"": 12800000000.0}",2026-01-14 17:12:48.094906+00,
NCCW,EGX,Nasr Co. for Civil Works,,"{""eps"": null, ""name"": ""Nasr Co. for Civil Works"", ""sector"": ""Industrial Services"", ""logoUrl"": ""https://s3-symbol-logo.tradingview.com/nasr-company-for-civil-works.svg"", ""peRatio"": null, ""industry"": ""Engineering & Construction"", ""marketCap"": 1205399952.0, ""dividendYield"": null}",2026-01-14 19:03:58.679662+00,
NCGC,EGX,,,"{""eps"": -0.24, ""name"": null, ""country"": ""Egypt"", ""peRatio"": 6.37, ""currency"": ""EGP"", ""marketCap"": 2649625000.0}",2026-01-14 17:12:52.860286+00,
NDRL,EGX,National Drilling Co.,,"{""eps"": null, ""name"": ""National Drilling Co."", ""sector"": ""Industrial Services"", ""logoUrl"": ""https://s3-symbol-logo.tradingview.com/national-drilling.svg"", ""peRatio"": null, ""industry"": ""Contract Drilling"", ""marketCap"": 1349015788.092319, ""dividendYield"": null}",2026-01-14 19:04:19.064212+00,
NEDA,EGX,Northern Upper Egypt Development & Agricultural Production,,"{""eps"": null, ""name"": ""Northern Upper Egypt Development & Agricultural Production"", ""sector"": ""Process Industries"", ""logoUrl"": ""https://s3-symbol-logo.tradingview.com/northern-upper-egypt-development-and-agricultural-production.svg"", ""peRatio"": null, ""industry"": ""Chemicals: Agricultural"", ""marketCap"": 154931589.0, ""dividendYield"": null}",2026-01-14 19:04:12.741237+00,
NEM,BA,,,"{""eps"": 2455.7807, ""name"": ""Newmont Corporation Shs Cert Deposito Arg Repr 0.333333 Sh"", ""sector"": ""Non-Energy Minerals"", ""peRatio"": 23.835030016227403, ""industry"": ""Precious Metals"", ""marketCap"": 181011836478707.78, ""dividendYield"": 0.5356383}",2026-01-13 21:11:24.239611+00,
NGG,BA,National Grid PLC ADR Cert Deposito Arg Repr 0.5 ADRs,,"{""eps"": 404.7522, ""name"": ""National Grid PLC ADR Cert Deposito Arg Repr 0.5 ADRs"", ""sector"": ""Utilities"", ""logoUrl"": ""https://s3-symbol-logo.tradingview.com/national-grid.svg"", ""peRatio"": 151.82361497283873, ""industry"": ""Electric Utilities"", ""marketCap"": 114238470123060.36, ""dividendYield"": 3.5152328}",2026-01-20 09:17:56.526707+00,
NHPS,EGX,National Housing for Professional Syndicates,,"{""eps"": 4.3722, ""name"": ""National Housing for Professional Syndicates"", ""sector"": ""Finance"", ""logoUrl"": ""https://s3-symbol-logo.tradingview.com/national-housing-for-professional-syndicates.svg"", ""peRatio"": 15.635149352728602, ""industry"": ""Real Estate Development"", ""marketCap"": 1103359985.0, ""dividendYield"": 10.548523}",2026-01-14 19:04:07.075929+00,
NINH,EGX,Nozha International Hospital,,"{""eps"": 0.6106, ""name"": ""Nozha International Hospital"", ""sector"": ""Health Services"", ""logoUrl"": ""https://s3-symbol-logo.tradingview.com/nozha-international-hospital.svg"", ""peRatio"": 15.427448411398624, ""industry"": ""Hospital/Nursing Management"", ""marketCap"": 2299000000.0, ""dividendYield"": 0.0}",2026-01-14 19:04:11.694632+00,
NIO,BA,,,"{""eps"": -2009.2312223756903, ""name"": ""NIO Inc. ADS A Cert Deposito Arg Repr 0.25 ADS A"", ""sector"": ""Consumer Durables"", ""peRatio"": null, ""industry"": ""Motor Vehicles"", ""marketCap"": 14823814998283.262, ""dividendYield"": null}",2026-01-13 21:11:23.706512+00,
NIPH,EGX,El-Nile Co. for Pharmaceuticals & Chemical Industries,,"{""eps"": null, ""name"": ""El-Nile Co. for Pharmaceuticals & Chemical Industries"", ""sector"": ""Health Technology"", ""logoUrl"": ""https://s3-symbol-logo.tradingview.com/el-nile-co-for-pharmaceuticals-and-chemical-industries.svg"", ""peRatio"": null, ""industry"": ""Pharmaceuticals: Major"", ""marketCap"": 4878499985.0, ""dividendYield"": 1.972581}",2026-01-14 19:03:55.837071+00,
NKE,BA,,,"{""eps"": 1747.0263, ""name"": ""NIKE, Inc. Shs B Cert Deposito Arg Repr 0.083333333 Shs B"", ""sector"": ""Consumer Non-Durables"", ""peRatio"": 4.849094294077622, ""industry"": ""Apparel/Footwear"", ""marketCap"": 142690718001468.4, ""dividendYield"": 1.5666279}",2026-01-13 21:11:23.959886+00,
NUE,BA,,,"{""eps"": 526.3039, ""name"": ""Nucor Corporation ADR Cert Deposito Arg Repr 0.0625 ADRs"", ""sector"": ""Non-Energy Minerals"", ""peRatio"": 30.548534507289798, ""industry"": ""Steel"", ""marketCap"": 55776316770925.11, ""dividendYield"": 1.2953368}",2026-01-13 21:11:24.45051+00,
NVDA,BA,,,"{""eps"": 203.1687, ""name"": ""NVIDIA Corporation Shs Cert Deposito Arg Repr 0.04166667 Sh"", ""sector"": ""Electronic Technology"", ""peRatio"": 58.34192930861592, ""industry"": ""Semiconductors"", ""marketCap"": 6599180703856093.0, ""dividendYield"": 0.012964409}",2026-01-13 21:11:23.485352+00,
OBRI,EGX,El Obour Real Estate Investment,,"{""eps"": 1.176, ""name"": ""El Obour Real Estate Investment"", ""sector"": ""Finance"", ""logoUrl"": ""https://s3-symbol-logo.tradingview.com/el-obour-real-estate-investment.svg"", ""peRatio"": 35.38265306122449, ""industry"": ""Real Estate Development"", ""marketCap"": 1696000061.0, ""dividendYield"": null}",2026-01-14 19:03:53.464882+00,
OCDI,EGX,Six of October Development & Investment (SODIC),,"{""eps"": null, ""name"": ""Six of October Development & Investment (SODIC)"", ""sector"": ""Finance"", ""logoUrl"": ""https://s3-symbol-logo.tradingview.com/six-of-october-development-and-investment-sodic.svg"", ""peRatio"": null, ""industry"": ""Real Estate Development"", ""marketCap"": 23387784738.0, ""dividendYield"": null}",2026-01-14 19:03:55.399269+00,
OCPH,EGX,October Pharma Co.,,"{""eps"": null, ""name"": ""October Pharma Co."", ""sector"": ""Health Technology"", ""logoUrl"": ""https://s3-symbol-logo.tradingview.com/october-pharma.svg"", ""peRatio"": null, ""industry"": ""Pharmaceuticals: Major"", ""marketCap"": 2399280029.0, ""dividendYield"": null}",2026-01-14 19:04:11.422618+00,
ODHN,EGX,ODIN Investments,,"{""eps"": null, ""name"": ""ODIN Investments"", ""sector"": ""Finance"", ""peRatio"": null, ""industry"": ""Investment Managers"", ""marketCap"": 248352007.0, ""dividendYield"": null}",2026-01-14 18:16:07.987457+00,
ODIN,EGX,ODIN Investments,,"{""eps"": null, ""name"": ""ODIN Investments"", ""sector"": ""Finance"", ""logoUrl"": ""https://s3-symbol-logo.tradingview.com/odin-investments.svg"", ""peRatio"": null, ""industry"": ""Investment Managers"", ""marketCap"": 248352007.0, ""dividendYield"": null}",2026-01-14 19:03:54.716448+00,
